"round","investment","la","lb","lc","ld","le","lf","lg","lh","payoff","n","b","exolinks","star","core","session","group","role","bet","totalearnings","treatment","topinfo1","topinfo2","topinfo3"
10,2,0,0,0,0,0,0,0,0,438,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",3,2,1
16,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
8,2,0,0,0,0,0,0,0,0,306,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
4,0,0,0,0,1,0,0,0,0,437,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",3,2,1
12,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
5,2,0,0,0,0,0,0,0,0,372,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",3,2,1
7,2,0,0,0,0,0,0,0,0,372,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
28,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
29,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
25,2,0,0,0,0,0,0,0,0,42,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
22,2,0,0,0,0,0,0,0,0,306,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
21,2,0,0,0,0,0,0,0,0,372,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
32,2,0,0,0,0,0,0,0,0,240,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
20,2,0,0,0,0,0,0,0,0,240,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
31,2,0,0,0,0,0,0,0,0,438,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
17,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
18,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
30,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
33,2,0,0,0,0,0,0,0,0,240,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
23,2,0,0,0,0,0,0,0,0,306,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",4,2,1
26,0,0,0,0,0,0,1,0,0,346,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
24,2,0,0,0,0,0,0,0,0,108,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
19,2,0,0,0,0,0,0,0,0,372,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
27,2,0,0,0,0,0,0,0,0,438,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",3,2,1
71,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
70,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
69,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
72,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
75,0,0,0,0,0,1,0,0,0,82,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
73,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
68,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
74,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
70,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
71,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
69,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
75,0,0,0,0,0,0,0,0,0,0,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
73,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
74,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
72,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
11,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
5,3,0,0,0,1,0,0,0,0,-39,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",3,2,1
12,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
13,0,0,1,0,0,0,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",3,2,1
6,0,0,1,0,0,0,0,0,0,82,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
10,1,0,1,0,0,0,0,0,0,52,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",3,2,1
4,2,0,1,0,0,0,0,0,0,-28,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",3,2,1
17,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
2,4,1,0,0,1,0,0,0,0,-155,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",4,3,2
16,1,0,1,0,0,0,0,0,0,52,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
14,3,0,1,0,0,0,0,0,0,-36,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",3,2,1
3,0,0,0,0,1,0,0,0,0,126,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",4,3,2
1,2,0,0,0,0,0,0,0,0,42,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",4,2,1
7,0,0,1,0,0,0,0,0,0,82,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
9,1,0,1,0,0,0,0,0,0,52,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",3,2,1
15,1,0,1,0,0,0,0,0,0,52,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
8,1,0,0,0,1,0,0,0,0,52,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
37,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
41,1,0,1,0,0,0,0,0,0,52,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
47,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
43,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
49,0,0,0,0,0,1,0,0,0,82,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
38,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
34,0,0,0,0,0,1,0,0,0,82,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
45,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
35,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
42,0,0,1,0,0,0,0,0,0,82,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
39,0,0,0,0,0,1,0,0,0,82,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
50,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
44,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
48,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
40,0,0,1,0,0,0,0,0,0,82,8,66,1,0,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
46,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
36,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
58,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
60,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
53,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
61,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
64,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
66,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
54,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
